Rank,Company,City,State
761,Penn Mutual Life Insurance,Horsham,PA
762,Colony NorthStar,Los Angeles,CA
763,ArcBest,Fort Smith,AR
764,Presidio,New York,NY
765,TRI Pointe Group,Irvine,CA
766,Annaly Capital Management,New York,NY
767,G-III Apparel Group,New York,NY
768,AMC Networks,New York,NY
769,Enable Midstream Partners,Oklahoma City,OK
770,Ciena,Hanover,MD
771,DSW,Columbus,OH
772,Convergys,Cincinnati,OH
773,Park Hotels & Resorts,McLean,VA
774,Pool,Covington,LA
775,Fossil Group,Richardson,TX
776,Dominos Pizza,Ann Arbor,MI
777,Crane,Stamford,CT
778,Caleres,St. Louis,MO
779,Tempur Sealy International,Lexington,KY
780,Tetra Tech,Pasadena,CA
781,Illumina,San Diego,CA
782,Valmont Industries,Omaha,NE
783,Hill-Rom Holdings,Chicago,IL
784,Unisys,Blue Bell,PA
785,Zions Bancorp.,Salt Lake City,UT
786,Sinclair Broadcast Group,Cockeysville,MD
787,Louisiana-Pacific,Nashville,TN
788,Mettler-Toledo International,Columbus,OH
789,Synopsys,Mountain View,CA
790,Kemper,Chicago,IL
791,Cabot,Boston,MA
792,Great Plains Energy,KCMO,MO
793,Rent-A-Center,Plano,TX
794,Hawaiian Holdings,Honolulu,HI
795,Revlon,New York,NY
796,Syneos Health,Raleigh,NC
797,Public Storage,Glendale,CA
798,TTM Technologies,Costa Mesa,CA
799,Vectren,Evansville,IN
800,Trimble,Sunnyvale,CA
801,NOW,Houston,TX
802,Spirit Airlines,Miramar,FL
803,ASGN,Calabasas,CA
804,Lincoln Electric Holdings,Cleveland,OH
805,Prologis,SF,CA
806,Range Resources,Fort Worth,TX
807,Teledyne Technologies,Thousand Oaks,CA
808,Vishay Intertechnology,Malvern,PA
809,Boston Properties,Boston,MA
810,Applied Industrial Technologies,Cleveland,OH
811,Graham Holdings,Arlington,VA
812,Amica Mutual Insurance,Lincoln,RI
813,Concho Resources,Midland,TX
814,ITT,White Plains,NY
815,Kansas City Southern,KCMO,MO
816,MDC Holdings,Denver,CO
817,Evergy,Topeka,KS
818,Pinnacle Entertainment,Las Vegas,NV
819,Hawaiian Electric Industries,Honolulu,HI
820,TEGNA,McLean,VA
821,Southwest Gas Holdings,Las Vegas,NV
822,Vista Outdoor,Farmington,UT
823,Bon-Ton Stores,York,PA
824,Super Micro Computer,San Jose,CA
825,Plexus,Neenah,WI
826,TrueBlue,Tacoma,WA
827,Magellan Midstream Partners,Tulsa,OK
828,Toro,Bloomington,MN
829,Akamai Technologies,Cambridge,MA
830,Moog,Elma Center,NY
831,Vertex Pharmaceuticals,Boston,MA
832,Equity Residential,Chicago,IL
833,Selective Insurance Group,Branchville,NJ
834,AptarGroup,Crystal Lake,IL
835,Benchmark Electronics,Scottsdale,AZ
836,Columbia Sportswear,Portland,OR
837,A. Schulman,Fairlawn,OH
838,Verso,Miamisburg,OH
839,Digital Realty Trust,SF,CA
840,GNC Holdings,Pittsburgh,PA
841,E*Trade Financial,New York,NY
842,Hovnanian Enterprises,Red Bank,NJ
843,Maximus,Reston,VA
844,Twitter,SF,CA
845,Par Pacific Holdings,Houston,TX
846,Parexel International,Waltham,MA
847,RH,Corte Madera,CA
848,Nexstar Media Group,Irving,TX
849,Knight-Swift Transportation Holdings,Phoenix,AZ
850,Red Hat,Raleigh,NC
851,Belden,St. Louis,MO
852,Boyd Gaming,Las Vegas,NV
853,Primoris Services,Dallas,TX
854,Gardner Denver,Milwaukee,WI
855,Donaldson,Minneapolis,MN
856,Party City Holdco,Elmsford,NY
857,J.Crew Group,New York,NY
858,EnerSys,Reading,PA
859,Guess,Los Angeles,CA
860,Patterson-UTI Energy,Houston,TX
861,WGL Holdings,Leavenworth,WA
862,Wolverine World Wide,Rockford,MI
863,Xilinx,San Jose,CA
864,Vornado Realty Trust,New York,NY
865,Middleby,Elgin,IL
866,MPM Holdings,Waterford,NY
867,Cleveland-Cliffs,Cleveland,OH
868,GGP,Chicago,IL
869,Cypress Semiconductor,San Jose,CA
870,Arch Coal,St. Louis,MO
871,GMS,Tucker,GA
872,Waters,Milford,MA
873,H.B. Fuller,St Paul,MN
874,Affiliated Managers Group,West Palm Beach,FL
875,PerkinElmer,Waltham,MA
876,Edgewell Personal Care,Chesterfield,MO
877,Maxim Integrated Products,San Jose,CA
878,Knights of Columbus,New Haven,CT
879,IDEX,Lake Forest,IL
880,DST Systems,KCMO,MO
881,Chicos FAS,Fort Myers,FL
882,Nu Skin Enterprises,Provo,UT
883,Herman Miller,Zeeland,MI
884,NLV Financial,Montpelier,VT
885,Curtiss-Wright,Charlotte,NC
886,New Jersey Resources,Wall Township,NJ
887,REV Group,Milwaukee,WI
888,Mueller Industries,Memphis,TN
889,GEO Group,Boca Raton,FL
890,Allison Transmission Holdings,Indianapolis,IN
891,OGE Energy,Oklahoma City,OK
892,Cheesecake Factory,Calabasas,CA
893,PRA Health Sciences,Raleigh,NC
894,Tupperware Brands,Orlando,FL
895,Euronet Worldwide,Leawood,KS
896,FLEETCOR Technologies,Norcross,GA
897,Nationstar Mortgage Holdings,Coppell,TX
898,GoDaddy,Scottsdale,AZ
899,Blackhawk Network Holdings,Pleasanton,CA
900,Cboe Global Markets,Chicago,IL
901,Snyders-Lance,Charlotte,NC
902,Murphy Oil,El Dorado,AR
903,CDK Global,Hoffman Estates,IL
904,Texas Roadhouse,Louisville,KY
905,Kirby,Houston,TX
906,Square,SF,CA
907,Genesee & Wyoming,Darien,CT
908,Zayo Group Holdings,Boulder,CO
909,NewMarket,Richmond,VA
910,99 Cents Only Stores,Commerce,CA
911,PCM,El Segundo,CA
912,Federated Mutual Insurance,Owatonna,MN
913,HNI,Muscatine,IA
914,Hospitality Properties Trust,Newton,MA
915,Greenbrier Cos.,Lake Oswego,OR
916,Bio-Rad Laboratories,Hercules,CA
917,AvalonBay Communities,Arlington,VA
918,Renewable Energy Group,Ames,IA
919,Atlas Air Worldwide Holdings,Harrison,NY
920,Teradata,Dayton,OH
921,LCI Industries,Elkhart,IN
922,Teleflex,Wayne,PA
923,Verisk Analytics,Jersey City,NJ
924,Popular,Hato Rey,Puerto Rico
925,Workday,Pleasanton,CA
926,Cooper Cos.,Pleasanton,CA
927,Express,Columbus,OH
928,Teradyne,North Reading,MA
929,Werner Enterprises,Omaha,NE
930,Oaktree Capital Group,Los Angeles,CA
931,Woodward,Fort Collins,CO
932,F5 Networks,Seattle,WA
933,Valvoline,Lexington,KY
934,Roadrunner Transportation Systems,Downers Grove,IL
935,SemGroup,Tulsa,OK
936,Catalent,Franklin Township,NJ
937,Quorum Health,Brentwood,TN
938,Universal,Richmond,VA
939,Nordson,Westlake,OH
940,ResMed,San Diego,CA
941,Tower International,Livonia,MI
942,Freds,Memphis,TN
943,Foundation Building Materials,Tustin,CA
944,Kennametal,Pittsburgh,PA
945,Autodesk,San Rafael,CA
946,Ply Gem Holdings,Cary,NC
947,Central Garden & Pet,Walnut Creek,CA
948,Matson,Honolulu,HI
949,EchoStar,Englewood,CO
950,Genesis Energy,Houston,TX
951,SVB Financial Group,Santa Clara,CA
952,Itron,Liberty Lake,WA
953,Portland General Electric,Portland,OR
954,California Resources,Los Angeles,CA
955,Esterline Technologies,Bellevue,WA
956,Delta Tucker Holdings,McLean,VA
957,AMN Healthcare Services,San Diego,CA
958,Griffon,New York,NY
959,Valhi,Dallas,TX
960,Hexcel,Stamford,CT
961,IDEXX Laboratories,Westbrook,ME
962,Deluxe,Shoreview,MN
963,M/I Homes,Columbus,OH
964,Kraton,Houston,TX
965,Stewart Information Services,Houston,TX
966,Marriott Vacations Worldwide,Orlando,FL
967,SPX FLOW,Charlotte,NC
968,ACCO Brands,Lake Zurich,IL
969,Echo Global Logistics,Chicago,IL
970,Cadence Design Systems,San Jose,CA
971,Nuance Communications,Burlington,MA
972,Finish Line,Indianapolis,IN
973,TransUnion,Chicago,IL
974,ServiceNow,Santa Clara,CA
975,Summit Materials,Denver,CO
976,Engility Holdings,Chantilly,VA
977,Ferrellgas Partners,Overland Park,KS
978,Interactive Brokers Group,Greenwich,CT
979,Stepan,Northfield,IL
980,Oceaneering International,Houston,TX
981,Cimarex Energy,Denver,CO
982,Rexnord,Milwaukee,WI
983,Beazer Homes USA,Atlanta,GA
984,MKS Instruments,Andover,MA
985,Vail Resorts,Broomfield,CO
986,Ohio National Mutual,Cincinnati,OH
987,TopBuild,Daytona Beach,FL
988,Brown & Brown,Daytona Beach,FL
989,Aerojet Rocketdyne Holdings,El Segundo,CA
990,Barnes & Noble Education,Bernards,NJ
991,Superior Energy Services,Houston,TX
992,VeriFone Systems,San Jose,CA
993,Childrens Place,Secaucus,NJ
994,Tribune Media,Chicago,IL
995,Healthcare Services Group,Bensalem,PA
996,SiteOne Landscape Supply,Roswell,GA
997,Charles River Laboratories Intl,Wilmington,MA
998,CoreLogic,Irvine,CA
999,Ensign Group,Mission Viejo,CA
1000,HCP,Irvine,CA
