Rank,Company,City,State
180,Supervalu,Eden Prairie,MN
181,Gap,SF,CA
182,General Mills,Minneapolis,MN
183,Nordstrom,Seattle,WA
184,Colgate-Palmolive,New York,NY
185,American Electric Power,Columbus,OH
186,XPO Logistics,Greenwich,CT
187,Goodyear Tire & Rubber,Akron,OH
188,Omnicom Group,New York,NY
189,CDW,Lincolnshire,IL
190,Sherwin-Williams,Cleveland,OH
191,PPG Industries,Pittsburgh,PA
192,Texas Instruments,Dallas,TX
193,C.H. Robinson Worldwide,Eden Prairie,MN
194,WestRock,Atlanta,GA
195,Cognizant Technology Solutions,Teaneck,NJ
196,Newell Brands,Hoboken,NJ
197,CBS,New York,NY
198,Envision Healthcare,Nashville,TN
199,Monsanto,St. Louis,MO
200,Aramark,Philadelphia,PA
201,Applied Materials,Santa Clara,CA
202,Waste Management,Houston,TX
203,DISH Network,Englewood,CO
204,Illinois Tool Works,Glenview,IL
205,Lincoln National,Wayne,PA
206,HollyFrontier,Dallas,TX
207,CBRE Group,Los Angeles,CA
208,Textron,Providence,RI
209,Ross Stores,Dublin,CA
210,Principal Financial,Des Moines,IA
211,D.R. Horton,Arlington,TX
212,Marsh & McLennan,New York,NY
213,Devon Energy,Oklahoma City,OK
214,AES,Arlington,VA
215,Ecolab,St Paul,MN
216,Land O'Lakes,Arden Hills,MN
217,Loews,New York,NY
218,Kinder Morgan,Houston,TX
219,FirstEnergy,Akron,OH
220,Occidental Petroleum,Houston,TX
221,Viacom,New York,NY
222,PayPal Holdings,San Jose,CA
223,NGL Energy Partners,Tulsa,OK
224,Celgene,Summit,NJ
225,Arconic,New York,NY
226,Kellogg,Battle Creek,MI
227,Las Vegas Sands,Las Vegas,NV
228,Stanley Black & Decker,New Britain,CT
229,Booking Holdings,Norwalk,CT
230,Lennar,Miami,FL
231,L Brands,Columbus,OH
232,DTE Energy,Detroit,MI
233,Dominion Energy,Richmond,VA
234,Reinsurance Group of America,Chesterfield,MO
235,J.C. Penney,Plano,TX
236,Mastercard,Harrison,NY
237,BlackRock,New York,NY
238,Henry Schein,Melville,NY
239,Guardian Life Ins. Co. of America,New York,NY
240,Stryker,Kalamazoo,MI
241,Jefferies Financial Group,New York,NY
242,VF,Greensboro,NC
243,ADP,Roseland,NJ
244,Edison International,Rosemead,CA
245,Biogen,Cambridge,MA
246,United States Steel,Pittsburgh,PA
247,Core-Mark Holding,South San Francisco,CA
248,Bed Bath & Beyond,Union,NJ
249,Oneok,Tulsa,OK
250,BB& T Corp.,Winston-Salem,NC
251,Becton Dickinson,Franklin Lakes,NJ
252,Ameriprise Financial,Minneapolis,MN
253,Farmers Insurance Exchange,Los Angeles,CA
254,First Data,New York,NY
255,Consolidated Edison,New York,NY
256,Parker-Hannifin,Cleveland,OH
257,Anadarko Petroleum,The Woodlands,TX
258,Estee Lauder,New York,NY
259,State Street Corp.,Boston,MA
260,Tesla,Palo Alto,CA
261,Netflix,Los Gatos,CA
262,Alcoa,Pittsburgh,PA
263,Discover Financial Services,Riverwoods,IL
264,Praxair,Danbury,CT
265,CSX,Jacksonville,FL
266,Xcel Energy,Minneapolis,MN
267,Unum Group,Chattanooga,TN
268,Universal Health Services,King of Prussia,PA
269,NRG Energy,Princeton,NJ
270,EOG Resources,Houston,TX
271,Sempra Energy,San Diego,CA
272,Toys 'R' Us,Wayne,NJ
273,Group 1 Automotive,Houston,TX
274,Entergy,New Orleans,LA
275,Molson Coors Brewing,Denver,CO
276,L3 Technologies,New York,NY
277,Ball,Broomfield,CO
278,AutoZone,Memphis,TN
279,Murphy USA,El Dorado,AR
280,MGM Resorts International,Las Vegas,NV
281,Office Depot,Boca Raton,FL
282,Huntsman,The Woodlands,TX
283,Baxter International,Deerfield,IL
284,Norfolk Southern,Norfolk,VA
285,salesforce.com,SF,CA
286,Laboratory Corp. of America,Burlington,NC
287,W.W. Grainger,Lake Forest,IL
288,Qurate Retail,Englewood,CO
289,Autoliv,Auburn Hills,MI
290,Live Nation Entertainment,Beverly Hills,CA
291,Xerox,Norwalk,CT
292,Leidos Holdings,Reston,VA
293,Corning,Corning,NY
294,Lithia Motors,Medford,OR
295,Expedia Group,Bellevue,WA
296,Republic Services,Phoenix,AZ
297,Jacobs Engineering Group,Dallas,TX
298,Sonic Automotive,Charlotte,NC
299,Ally Financial,Detroit,MI
300,LKQ,Chicago,IL
301,BorgWarner,Auburn Hills,MI
302,Fidelity National Financial,Jacksonville,FL
303,SunTrust Banks,Atlanta,GA
304,IQVIA Holdings,Durham,NC
305,Reliance Steel & Aluminum,Los Angeles,CA
306,Nvidia,Santa Clara,CA
307,Voya Financial,New York,NY
308,CenterPoint Energy,Houston,TX
309,eBay,San Jose,CA
310,Eastman Chemical,Kingsport,TN
311,American Family Insurance Group,Madison,WI
312,Steel Dynamics,Fort Wayne,IN
313,Pacific Life,Newport Beach,CA
314,Chesapeake Energy,Oklahoma City,OK
315,Mohawk Industries,Calhoun,GA
316,Quanta Services,Houston,TX
317,Advance Auto Parts,Roanoke,VA
318,Owens & Minor,Mechanicsville,VA
319,United Natural Foods,Providence,RI
320,Tenneco,Lake Forest,IL
321,Conagra Brands,Chicago,IL
322,GameStop,Grapevine,TX
323,Hormel Foods,Austin,MN
324,Hilton Worldwide Holdings,McLean,VA
325,Frontier Communications,Norwalk,CT
326,Fidelity National Information Services,Jacksonville,FL
327,Public Service Enterprise Group,Newark,NJ
328,Boston Scientific,Marlboro,MA
329,OReilly Automotive,Springfield,MO
